,Identifies_the_type_of_dwelling,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,Lot_configuration,LandSlope,Neighborhood,Condition1,Condition2,Type_of_dwelling,HouseStyle,OverallQual,OverallCond,YearRemodAdd,RoofStyle,Roof_material,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical_system,1stFlrSF,Low_quality_finished_square_feet,GrLivArea,BedroomAbvGr,KitchenAbvGr,Kitchen_Quality,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,Garage_location,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,Garage_condition,Paved driveway,Pool_quality,Fence_Quality,Miscellaneous_feature,miscellaneous_feature,MoSold,YrSold,SaleType,SaleCondition,SalePrice,PricePerSqFt,AgeAtSale,TotalSqFt,TotalBathrooms,TotalPorchArea,TotalFinishedSqFt,TotalQualityScore,TotalGarageScore,TotalOutdoorArea,DateSold,Sentiment
1168,2-STORY 1945 & OLDER,RL,120,13728,Pave,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,2Story,6,7,1986,Hip,CompShg,Stucco,Stucco,0,TA,TA,CBlock,TA,TA,No,Rec,Unf,501,1127,GasA,Ex,Y,SBrkr,1236,0,2108,4,1,Gd,7,Typ,2,TA,Basment,1935,Unf,2,540,TA,TA,Y,No,No,No,0,Jul,2008,WD,Normal,235000,72.64296754250387,73,3235,2.0,90,2734,13,1080,0,2008-07-01,0.0
1169,2-STORY 1946 & NEWER,RL,118,35760,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,10,5,1996,Hip,CompShg,HdBoard,HdBoard,1378,Gd,Gd,PConc,Ex,TA,Gd,GLQ,Unf,543,1930,GasA,Ex,Y,SBrkr,1831,0,3627,4,1,Gd,10,Typ,1,TA,Attchd,1995,Fin,3,807,TA,TA,Y,No,No,No,0,Jul,2006,WD,Normal,625000,112.47075760302322,11,5557,3.5,76,5014,15,2421,437,2006-07-01,0.0
1170, SPLIT OR MULTI-LEVEL,RL,76,9880,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,6,6,1977,Gable,CompShg,Plywood,Plywood,0,TA,TA,CBlock,TA,TA,Av,ALQ,Unf,574,1096,GasA,TA,Y,SBrkr,1118,0,1118,3,1,TA,6,Typ,1,Po,Attchd,1977,Fin,1,358,TA,TA,Y,Gd,GdPrv,No,0,Jul,2008,WD,Normal,171000,77.23577235772358,31,2214,1.0,0,1640,12,358,779,2008-07-01,0.0
1171,1-STORY 1946 & NEWER ALL STYLES,RL,76,9120,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,Hip,CompShg,MetalSd,MetalSd,0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,599,1261,GasA,Ex,Y,SBrkr,1261,0,1261,3,1,TA,6,Typ,1,TA,Attchd,1958,RFn,2,433,TA,TA,Y,No,No,Shed,1400,Nov,2008,WD,Normal,163000,64.63124504361618,50,2522,1.0,288,1923,12,866,0,2008-11-01,0.0
1172,2-STORY PUD - 1946 & NEWER,FV,35,4017,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2007,Gable,CompShg,MetalSd,MetalSd,0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,625,625,GasA,Ex,Y,SBrkr,625,0,1250,2,1,Gd,5,Typ,0,No,Detchd,2006,Fin,2,625,TA,TA,Y,No,No,No,0,Mar,2008,WD,Normal,171900,91.68,2,1875,2.5,54,1250,12,1250,54,2008-03-01,0.0
1173,1-1/2 STORY FINISHED ALL AGES,RL,138,18030,Pave,IR1,Bnk,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,1.5Fin,5,6,1994,Gable,CompShg,MetalSd,MetalSd,0,TA,TA,CBlock,TA,TA,No,Rec,BLQ,977,1598,GasA,TA,Y,SBrkr,1636,479,3086,3,1,Ex,12,Maj1,1,Gd,No,2005,No,0,0,No,No,Y,No,MnPrv,No,0,Mar,2007,WD,Normal,200500,42.805294619982924,61,4205,3.0,0,3707,11,0,122,2007-03-01,0.0
1174,2-STORY 1945 & OLDER,RL,80,16560,Pave,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,6,8,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0,TA,TA,BrkTil,Gd,TA,No,Rec,Unf,449,952,GasA,TA,Y,SBrkr,1170,0,2345,4,1,TA,9,Typ,1,Gd,Detchd,1932,Unf,2,360,TA,TA,Y,No,No,No,0,Jul,2006,WD,Normal,239000,72.49014255383682,74,3297,2.5,0,2848,14,720,0,2006-07-01,0.0
1175,1-1/2 STORY FINISHED ALL AGES,RL,85,10678,Pave,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,1.5Fin,8,5,2000,Hip,CompShg,HdBoard,HdBoard,337,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,983,1683,GasA,Ex,Y,SBrkr,2129,0,2872,4,1,Gd,9,Typ,1,TA,Attchd,1992,Fin,2,541,TA,TA,Y,No,No,No,0,Apr,2007,WD,Normal,285000,62.56860592755214,15,4555,2.5,33,3572,13,1082,33,2007-04-01,0.0
1176,1-STORY 1946 & NEWER ALL STYLES,RL,37,6951,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,1985,Gable,CompShg,HdBoard,Plywood,0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,218,876,GasA,TA,Y,SBrkr,923,0,923,3,1,TA,5,Typ,0,No,Attchd,1984,Unf,1,264,TA,TA,Y,No,MnPrv,No,0,Oct,2008,WD,Normal,119500,66.42579210672596,24,1799,1.0,0,1581,10,264,362,2008-10-01,0.0
1177,1-1/2 STORY FINISHED ALL AGES,RM,0,3950,Pave,Reg,Bnk,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,6,8,2004,Gable,CompShg,MetalSd,MetalSd,0,TA,TA,CBlock,TA,TA,No,Rec,Unf,350,818,GasA,TA,Y,SBrkr,818,0,1224,3,1,TA,5,Typ,0,No,Detchd,1926,Unf,1,210,TA,TA,N,No,No,No,0,Dec,2009,WD,Normal,115000,56.31733594515181,83,2042,1.0,116,1692,14,210,0,2009-12-01,0.0
1178,1-1/2 STORY FINISHED ALL AGES,RL,54,7681,Pave,IR1,Lvl,AllPub,FR2,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,731,731,GasA,Ex,Y,SBrkr,820,0,1343,3,1,TA,7,Typ,1,Gd,Detchd,1921,Unf,1,186,Fa,TA,Y,No,No,No,0,Jul,2009,WD,Normal,154900,74.68659594985535,88,2074,1.5,102,1343,11,186,192,2009-07-01,0.0
1179,1-STORY 1946 & NEWER ALL STYLES,RL,77,8335,Pave,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,5,1954,Gable,CompShg,Wd Sdng,Wd Sdng,0,TA,TA,Slab,No,No,No,No,No,0,0,GasA,Gd,Y,SBrkr,1124,0,1124,3,1,TA,5,Min2,1,Gd,No,2005,No,0,0,No,No,N,No,No,No,0,Apr,2006,WD,Normal,93000,82.74021352313167,52,1124,1.0,226,1124,10,0,36,2006-04-01,0.0
1180,2-STORY 1946 & NEWER,RL,0,11170,Pave,IR2,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,2Story,7,5,1991,Gable,CompShg,MetalSd,MetalSd,0,TA,TA,Wood,Gd,TA,No,LwQ,Unf,0,1216,GasA,Ex,Y,SBrkr,1298,0,2514,4,1,TA,8,Typ,0,No,Attchd,1990,Fin,2,693,TA,TA,Y,No,GdPrv,No,0,Apr,2006,WD,Normal,250000,67.02412868632707,16,3730,2.5,0,3730,12,1386,0,2006-04-01,0.0
1181,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RM,64,5587,Pave,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,TwnhsE,1Story,8,5,2008,Hip,CompShg,CemntBd,CmentBd,186,Ex,TA,PConc,Ex,TA,Gd,GLQ,Unf,120,1600,GasA,Ex,Y,SBrkr,1652,0,1652,2,1,Gd,5,Typ,1,Gd,Attchd,2008,Fin,2,482,TA,TA,Y,No,No,No,0,Nov,2008,New,Partial,392500,120.6949569495695,0,3252,2.0,206,3132,13,964,215,2008-11-01,0.0
1182,2-STORY 1946 & NEWER,RL,160,15623,Pave,IR1,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,10,5,1996,Hip,CompShg,Wd Sdng,ImStucc,0,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,300,2396,GasA,Ex,Y,SBrkr,2411,0,4476,4,1,Ex,10,Typ,2,TA,Attchd,1996,Fin,3,813,TA,TA,Y,Ex,MnPrv,No,0,Jul,2007,WD,Abnorml,745000,108.41094295692666,11,6872,3.5,78,6572,15,2439,804,2007-07-01,0.0
1183,1-STORY 1945 & OLDER,RL,60,10800,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,6,1950,Hip,CompShg,Stucco,Stucco,0,TA,TA,BrkTil,TA,TA,No,Rec,Unf,299,1120,GasA,Ex,Y,SBrkr,1130,0,1130,2,1,TA,5,Typ,1,Gd,Detchd,1970,Unf,2,720,TA,TA,Y,No,No,No,0,Jun,2006,WD,Normal,120000,53.333333333333336,86,2250,1.0,0,1951,11,1440,229,2006-06-01,0.0
1184,1-STORY 1946 & NEWER ALL STYLES,RL,50,35133,Grvl,Reg,Lvl,AllPub,Inside,Mod,Timber,Norm,Norm,1Fam,1Story,5,4,1963,Hip,CompShg,MetalSd,MetalSd,226,TA,TA,CBlock,TA,TA,Gd,Rec,Unf,413,1572,GasA,Gd,Y,SBrkr,1572,0,1572,3,1,TA,5,Typ,2,TA,2Types,1963,RFn,3,995,TA,TA,Y,No,No,No,0,May,2007,WD,Normal,186700,59.38295165394402,44,3144,1.5,526,2731,9,2985,263,2007-05-01,0.0
1185,1-1/2 STORY FINISHED ALL AGES,RL,60,9738,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,7,1950,Gable,CompShg,AsbShng,AsbShng,0,TA,Gd,BrkTil,TA,TA,No,BLQ,Unf,392,784,GasA,Gd,Y,SBrkr,949,0,1221,4,1,TA,7,Typ,0,No,Attchd,1965,Unf,1,392,TA,TA,Y,No,No,No,0,Mar,2006,WD,Normal,104900,52.31920199501247,82,2005,1.0,236,1613,12,392,0,2006-03-01,0.0
1186,2 FAMILY CONVERSION - ALL STYLES AND AGES,RL,107,10615,Pave,IR1,Bnk,AllPub,Corner,Mod,OldTown,Artery,Artery,2fmCon,2Story,3,5,1970,Gable,CompShg,HdBoard,HdBoard,0,TA,TA,CBlock,Fa,TA,Mn,BLQ,Unf,538,978,GasA,TA,Y,SBrkr,1014,0,1699,3,2,TA,7,Typ,0,No,CarPort,1920,Unf,2,420,Fa,Fa,Y,No,No,No,0,Aug,2009,WD,Abnorml,95000,35.487485991781845,109,2677,2.0,74,2139,8,840,74,2009-08-01,0.0
1187,1-STORY 1946 & NEWER ALL STYLES,RL,89,12461,Pave,Reg,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,1Story,8,5,1995,Gable,CompShg,ImStucc,ImStucc,0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,168,1624,GasA,Ex,Y,SBrkr,1624,0,1624,2,1,Gd,5,Typ,1,Fa,Attchd,1994,RFn,3,757,TA,TA,Y,No,GdPrv,No,0,Jul,2006,WD,Normal,262000,80.66502463054188,12,3248,2.0,306,3080,13,2271,114,2006-07-01,0.0
1188,2-STORY 1946 & NEWER,RL,68,8935,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2002,Gable,CompShg,VinylSd,VinylSd,95,Gd,TA,PConc,Gd,TA,No,Unf,Unf,831,831,GasA,Ex,Y,SBrkr,831,0,1660,3,1,Gd,7,Typ,0,No,Attchd,2002,RFn,2,493,TA,TA,Y,No,No,No,0,Jul,2009,WD,Normal,195000,78.28181453231633,7,2491,2.5,68,1660,12,986,212,2009-07-01,0.0
1189,2-STORY 1946 & NEWER,RL,60,7500,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999,Gable,CompShg,VinylSd,VinylSd,0,TA,TA,PConc,TA,TA,No,Unf,Unf,994,994,GasA,Gd,Y,SBrkr,1028,0,1804,3,1,Gd,7,Typ,1,TA,Attchd,1999,Fin,2,442,TA,TA,Y,No,No,No,0,Jun,2010,WD,Normal,189000,67.5482487491065,11,2798,2.5,60,1804,12,884,200,2010-06-01,0.0
1190,2 FAMILY CONVERSION - ALL STYLES AND AGES,RL,0,32463,Pave,Reg,Low,AllPub,Inside,Mod,Mitchel,Norm,Norm,2fmCon,1Story,4,4,1975,Gable,CompShg,MetalSd,MetalSd,149,TA,Gd,CBlock,TA,TA,Av,BLQ,Unf,90,1249,GasA,Ex,Y,SBrkr,1622,0,1622,3,1,TA,7,Typ,1,TA,2Types,1975,Fin,4,1356,TA,TA,Y,No,No,No,0,Mar,2007,WD,Normal,168000,58.51619644723093,46,2871,1.0,0,2781,8,5424,439,2007-03-01,0.0
1191,2-STORY PUD - 1946 & NEWER,FV,24,2645,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,2000,Gable,CompShg,MetalSd,MetalSd,456,Gd,TA,PConc,Gd,TA,No,Unf,Unf,776,776,GasA,Ex,Y,SBrkr,764,0,1441,2,1,Gd,5,Typ,0,No,Detchd,1999,Unf,2,492,TA,TA,Y,No,No,No,0,Nov,2007,WD,Normal,174000,78.48443843031123,8,2217,2.5,0,1441,13,984,206,2007-11-01,0.0
1192,1-1/2 STORY FINISHED ALL AGES,RM,60,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,8,1994,Gambrel,CompShg,VinylSd,VinylSd,0,TA,TA,PConc,TA,TA,Mn,Unf,Unf,702,702,GasA,Gd,Y,SBrkr,842,0,1472,3,1,Gd,6,Typ,0,No,Detchd,1925,Unf,1,250,TA,Fa,P,No,GdWo,No,0,Jul,2007,WD,Normal,125000,57.49770009199632,82,2174,1.0,84,1472,13,250,0,2007-07-01,0.0
1193,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RM,0,4500,Pave,Reg,Lvl,AllPub,FR2,Gtl,Mitchel,Norm,Norm,TwnhsE,1Story,6,5,1999,Hip,CompShg,VinylSd,VinylSd,425,TA,TA,PConc,Ex,TA,No,GLQ,Unf,341,1224,GasA,Ex,Y,SBrkr,1224,0,1224,2,1,TA,5,Typ,0,No,Attchd,1999,Fin,2,402,TA,TA,Y,No,No,No,0,Jun,2009,WD,Normal,165000,67.40196078431373,10,2448,2.0,304,2107,11,804,304,2009-06-01,0.0
1194,2-STORY 1946 & NEWER,RL,80,9364,Pave,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,2Story,6,7,1969,Gable,CompShg,HdBoard,HdBoard,143,TA,TA,CBlock,TA,TA,No,ALQ,Unf,292,663,GasA,TA,Y,SBrkr,663,0,1352,4,1,TA,7,Typ,0,No,Attchd,1969,Fin,1,299,TA,TA,Y,No,MnPrv,No,0,Mar,2010,WD,Normal,158000,78.41191066997519,41,2015,1.5,36,1723,13,299,415,2010-03-01,0.0
1195,2-STORY 1946 & NEWER,RL,51,8029,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2005,Gable,CompShg,VinylSd,VinylSd,0,TA,TA,PConc,Gd,TA,No,Unf,Unf,728,728,GasA,Ex,Y,SBrkr,728,0,1456,3,1,Gd,8,Typ,0,No,Attchd,2005,Fin,2,400,TA,TA,Y,No,No,No,0,Jul,2008,WD,Normal,176000,80.58608058608058,3,2184,2.5,24,1456,11,800,124,2008-07-01,0.0
1196,2-STORY 1946 & NEWER,RL,58,14054,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2006,Gable,CompShg,VinylSd,VinylSd,0,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,879,879,GasA,Ex,Y,SBrkr,879,0,1863,4,1,Gd,9,Typ,1,Gd,BuiltIn,2006,Fin,3,660,TA,TA,Y,No,No,No,0,Nov,2006,New,Partial,219210,79.945295404814,0,2742,2.5,17,1863,12,1980,117,2006-11-01,0.0
1197,2-1/2 STORY ALL AGES,RM,65,8850,Pave,IR1,Bnk,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2.5Unf,7,6,1950,Gable,CompShg,MetalSd,MetalSd,0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,815,815,GasA,Ex,Y,SBrkr,815,0,1690,3,1,TA,7,Typ,1,Gd,Detchd,1916,Unf,1,225,TA,TA,Y,No,No,No,0,Jul,2006,ConLw,Normal,144000,57.48502994011976,90,2505,1.0,330,1690,13,225,0,2006-07-01,0.0
1198,1-STORY 1946 & NEWER ALL STYLES,RL,70,9100,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2001,Gable,CompShg,VinylSd,VinylSd,0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1212,1212,GasA,Ex,Y,SBrkr,1212,0,1212,3,1,Gd,6,Typ,0,No,Attchd,2001,RFn,2,573,TA,TA,Y,No,No,No,0,Jun,2009,WD,Normal,178000,73.43234323432343,8,2424,2.0,0,1212,12,1146,356,2009-06-01,0.0
1199,1-STORY 1946 & NEWER ALL STYLES,RL,75,11235,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,4,5,1979,Gable,CompShg,HdBoard,HdBoard,51,TA,TA,CBlock,TA,TA,No,Rec,Unf,504,1051,GasA,Gd,Y,SBrkr,1382,0,1382,3,1,TA,6,Typ,1,Po,Attchd,1974,Unf,2,459,TA,TA,Y,No,No,No,0,Oct,2006,WD,Normal,148000,60.83025071927661,43,2433,1.5,82,1929,9,918,82,2006-10-01,0.0
1200,1-STORY 1946 & NEWER ALL STYLES,RL,71,9353,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1970,Gable,CompShg,MetalSd,MetalSd,0,TA,TA,CBlock,TA,TA,No,Unf,Unf,864,864,GasA,Gd,Y,SBrkr,864,0,864,3,1,TA,5,Typ,0,No,Attchd,1972,Unf,1,280,TA,TA,Y,No,No,Shed,0,Jul,2006,Oth,Abnorml,116050,67.15856481481481,36,1728,1.0,0,864,9,280,0,2006-07-01,0.0
1201,2-STORY 1946 & NEWER,RL,80,10400,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1998,Gable,CompShg,VinylSd,VinylSd,0,TA,TA,PConc,Gd,TA,Av,Unf,Unf,866,866,GasA,Ex,Y,SBrkr,866,0,1779,3,1,Gd,6,Typ,0,No,Attchd,1998,RFn,2,546,TA,TA,Y,No,No,No,0,Mar,2009,WD,Normal,197900,74.82041587901702,11,2645,2.5,36,1779,12,1092,234,2009-03-01,0.0
1202,1-1/2 STORY FINISHED ALL AGES,RM,50,6000,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,8,1997,Gable,CompShg,Wd Sdng,Wd Sdng,0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,884,884,GasA,Ex,Y,SBrkr,884,0,1348,3,1,TA,5,Typ,1,Fa,Detchd,1960,Unf,1,216,TA,TA,N,No,No,No,0,May,2009,WD,Normal,117000,52.41935483870968,84,2232,1.0,208,1348,13,216,0,2009-05-01,0.0
1203,1-STORY 1946 & NEWER ALL STYLES,RL,75,9750,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2001,Gable,CompShg,VinylSd,VinylSd,171,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1630,1630,GasA,Ex,Y,SBrkr,1630,0,1630,3,1,Gd,6,Typ,1,TA,Attchd,2000,Unf,2,451,TA,TA,Y,No,No,No,0,Oct,2009,WD,Normal,213000,65.33742331288343,9,3260,2.0,234,1630,12,902,308,2009-10-01,0.0
1204,1-STORY 1946 & NEWER ALL STYLES,RL,78,10140,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,5,6,1975,Gable,CompShg,HdBoard,HdBoard,0,TA,TA,CBlock,Gd,TA,No,ALQ,Unf,268,1056,GasA,Ex,Y,SBrkr,1074,0,1074,3,1,TA,6,Typ,0,No,Attchd,1975,RFn,2,495,TA,TA,Y,No,MnPrv,No,0,Jul,2006,WD,Normal,153500,72.06572769953051,31,2130,1.5,88,1862,11,990,88,2006-07-01,0.0
1205,1-STORY 1946 & NEWER ALL STYLES,RL,90,14684,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,7,1991,Hip,CompShg,HdBoard,HdBoard,234,Gd,TA,CBlock,Gd,TA,Mn,ALQ,BLQ,1496,2158,GasA,Gd,Y,SBrkr,2196,0,2196,3,1,Gd,7,Typ,1,TA,Attchd,1990,RFn,3,701,TA,TA,Y,No,No,No,0,Jun,2009,WD,Normal,271900,62.448323380799266,19,4354,2.0,70,2858,14,2103,154,2009-06-01,0.0
1206,1-STORY 1946 & NEWER ALL STYLES,RH,0,8900,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,4,4,1966,Gable,CompShg,HdBoard,HdBoard,0,TA,TA,CBlock,TA,TA,No,Rec,Unf,0,1056,GasA,TA,Y,SBrkr,1056,0,1056,2,1,TA,5,Typ,0,No,Detchd,1966,Unf,1,384,TA,TA,Y,No,MnPrv,No,0,Nov,2006,WD,Normal,107000,50.66287878787879,40,2112,1.0,42,2112,8,384,42,2006-11-01,0.0
1207,1-STORY 1946 & NEWER ALL STYLES,RL,70,9135,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,6,5,2003,Gable,CompShg,VinylSd,VinylSd,120,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1342,1682,GasA,Ex,Y,SBrkr,1700,0,1700,3,1,Gd,7,Typ,0,No,Attchd,2003,RFn,2,544,TA,TA,Y,No,No,No,0,May,2006,WD,Normal,200000,59.13660555884092,3,3382,2.0,23,2040,11,1088,215,2006-05-01,0.0
1208,1-STORY 1946 & NEWER ALL STYLES,RL,70,7763,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1980,Gable,CompShg,MetalSd,MetalSd,0,TA,Gd,CBlock,TA,TA,No,Rec,BLQ,319,931,GasA,TA,Y,SBrkr,1283,0,1283,3,1,TA,6,Typ,0,No,Detchd,1980,Unf,2,506,TA,TA,Y,No,No,No,0,Oct,2008,WD,Normal,140000,63.23396567299007,46,2214,1.0,0,1895,12,1012,0,2008-10-01,0.0
1209,1-STORY 1946 & NEWER ALL STYLES,RL,85,10182,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Somerst,RRNn,Norm,1Fam,1Story,8,5,2006,Hip,CompShg,VinylSd,VinylSd,420,Gd,TA,PConc,Ex,TA,Mn,GLQ,Unf,440,1660,GasA,Ex,Y,SBrkr,1660,0,1660,3,1,Gd,8,Typ,1,Gd,Attchd,2006,RFn,2,500,TA,TA,Y,No,No,No,0,May,2006,New,Partial,290000,87.34939759036145,0,3320,2.0,50,2880,13,1000,372,2006-05-01,0.0
1210,2-STORY 1946 & NEWER,RL,70,11218,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,5,1992,Gable,CompShg,Wd Sdng,Wd Sdng,0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1055,1055,GasA,Ex,Y,SBrkr,1055,0,1845,3,1,Gd,8,Typ,1,TA,Attchd,1992,RFn,2,462,TA,TA,Y,No,GdPrv,Shed,400,May,2010,WD,Normal,189000,65.17241379310344,18,2900,2.5,104,1845,11,924,739,2010-05-01,0.0
1211,1-1/2 STORY FINISHED ALL AGES,RL,152,12134,Pave,IR1,Bnk,AllPub,Inside,Mod,Gilbert,Norm,Norm,1Fam,1.5Fin,8,7,2005,Gable,CompShg,Wd Sdng,Wd Sdng,0,Gd,TA,Wood,Gd,TA,Av,GLQ,Unf,132,559,GasA,Gd,Y,SBrkr,1080,0,1752,4,1,TA,8,Typ,0,No,Basment,1988,RFn,2,492,TA,TA,Y,No,No,No,0,Jun,2010,WD,Normal,164000,70.96495023799221,22,2311,2.0,12,2179,15,984,337,2010-06-01,0.0
1212,1-STORY 1945 & OLDER,RL,50,9340,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,6,1950,Hip,CompShg,MetalSd,MetalSd,0,TA,TA,CBlock,TA,TA,No,Rec,Unf,328,672,GasA,TA,Y,SBrkr,672,0,672,2,1,TA,4,Typ,0,No,Attchd,1941,Unf,1,234,TA,TA,N,No,No,No,0,Aug,2009,WD,Normal,113000,84.07738095238095,68,1344,1.0,113,1016,10,234,113,2009-08-01,0.0
1213, SPLIT OR MULTI-LEVEL,RL,0,10246,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,4,9,2001,Gable,CompShg,VinylSd,VinylSd,0,TA,Gd,CBlock,TA,Gd,Av,GLQ,Unf,0,648,GasA,Ex,Y,SBrkr,960,0,960,0,1,TA,3,Typ,0,No,Attchd,1965,Unf,1,364,TA,TA,Y,No,No,No,0,May,2006,WD,Normal,145000,90.17412935323384,41,1608,0.0,0,1608,13,364,88,2006-05-01,0.0
1214,SPLIT FOYER,RL,69,10205,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SFoyer,5,5,1962,Gable,CompShg,MetalSd,MetalSd,0,TA,TA,CBlock,TA,TA,Av,BLQ,Unf,141,925,GasA,TA,Y,SBrkr,999,0,999,3,1,TA,6,Typ,0,No,Attchd,1962,Unf,1,300,TA,TA,Y,No,No,No,0,May,2006,WD,Normal,134500,69.9064449064449,44,1924,1.0,72,1783,10,300,222,2006-05-01,0.0
1215,1-STORY 1946 & NEWER ALL STYLES,RL,99,7094,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1966,Gable,CompShg,VinylSd,VinylSd,0,TA,TA,CBlock,TA,TA,No,Rec,LwQ,340,894,GasA,TA,Y,SBrkr,894,0,894,3,1,TA,5,Typ,0,No,Detchd,1966,RFn,1,384,TA,TA,Y,No,MnPrv,No,0,May,2007,WD,Normal,125000,69.91051454138703,41,1788,1.0,0,1448,10,384,0,2007-05-01,0.0
